PScore_7001,Weight_7001,MatchId,Id,锘縄D,patchSetNum,changeId,orderTime,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
0.15537797982158233,0,,58,58,1,642,2016-11-16 13:42:00,2016-11-16 13:32:00,2016-11-16 13:32:00,0,2,6,12,3,5,1,0
0.15543373886094286,0,,59,59,1,643,2016-11-16 13:40:00,2016-11-16 12:39:00,2016-11-16 13:30:00,0,2,6,399,3,5,1,0
0.15535292390692898,1,22731,60,60,1,644,2016-11-16 13:34:00,2016-11-16 10:19:00,2016-11-16 10:19:00,3,2,1,138,3,5,1,0
0.3245404646353595,1,21216,61,61,2,645,2016-11-16 13:31:00,2016-11-16 09:51:00,2016-11-16 09:52:00,3,2,6,32,3,9,2,0
0.15689052642868057,0,,62,62,1,646,2016-11-16 13:25:00,2016-11-16 11:37:00,2016-11-16 11:37:00,1,2,166,872,3,5,1,0
0.15534500186319145,0,,63,63,1,647,2016-11-16 12:58:00,2016-11-16 12:23:00,2016-11-16 12:23:00,0,2,1,83,3,5,1,0
0.13178064991320723,0,,64,64,1,648,2016-11-16 12:48:00,2016-10-12 13:48:00,2016-11-16 06:45:00,6,2,2,15,5,7,1,0
0.19486196936114158,1,14198,65,65,6,650,2016-11-16 12:21:00,2016-11-09 11:14:00,2016-11-16 11:56:00,0,2,11,94,3,4,6,0
0.14029072110944418,0,,66,66,1,651,2016-11-16 11:45:00,2016-11-16 11:39:00,2016-11-16 11:39:00,0,2,1,18,2,3,1,0
0.15534370381598817,0,,67,67,1,652,2016-11-16 11:28:00,2016-11-16 10:02:00,2016-11-16 10:02:00,1,2,2,14,3,5,1,0
0.10681176331626084,0,,68,68,1,653,2016-11-16 11:27:00,2016-11-15 18:04:00,2016-11-15 18:04:00,17,2,10,108,3,3,1,0
0.15533333545361414,1,11545,69,69,1,654,2016-11-16 11:06:00,2016-11-16 10:58:00,2016-11-16 10:58:00,0,2,1,2,3,5,1,0
0.18575498166977877,1,3656,70,70,1,655,2016-11-16 11:01:00,2016-11-08 13:44:00,2016-11-08 13:44:00,189,2,1,3,3,6,1,0
0.13062143683280805,1,22181,71,71,2,656,2016-11-16 11:00:00,2016-11-08 13:38:00,2016-11-15 16:23:00,18,2,166,628,4,5,2,0
0.14319352579766248,0,,72,72,1,657,2016-11-16 10:25:00,2016-11-16 09:08:00,2016-11-16 09:08:00,1,2,6,32,4,6,1,0
0.2206408255073313,0,,73,73,1,658,2016-11-16 10:48:00,2016-11-16 08:46:00,2016-11-16 09:06:00,1,2,6,33,3,7,1,0
0.11885289032895821,0,,74,74,1,659,2016-11-16 10:40:00,2016-11-16 09:43:00,2016-11-16 09:43:00,0,2,16,536,4,5,1,0
0.1530010639239402,0,,75,75,4,660,2016-11-16 10:36:00,2016-11-15 13:17:00,2016-11-15 15:07:00,19,2,1,6,4,5,4,0
0.15533362350450014,1,21286,76,76,1,661,2016-11-16 10:29:00,2016-11-16 10:23:00,2016-11-16 10:23:00,0,2,1,4,3,5,1,0
0.18582970036956012,0,,77,77,1,662,2016-11-16 09:58:00,2016-11-16 09:35:00,2016-11-16 09:35:00,0,2,4,273,3,6,1,0
0.14075935066874248,0,,78,78,3,663,2016-11-16 09:44:00,2016-11-10 13:26:00,2016-11-16 08:52:00,0,2,3,15,4,5,3,0
0.15558639308878358,1,9340,79,79,2,664,2016-11-16 09:43:00,2016-11-10 16:16:00,2016-11-16 08:39:00,1,2,1,49,4,6,2,0
0.15533362350450014,0,,80,80,1,665,2016-11-16 09:13:00,2016-11-16 09:04:00,2016-11-16 09:04:00,0,2,1,4,3,5,1,0
0.1300385174078007,0,,81,81,2,666,2016-11-16 08:18:00,2016-11-08 13:23:00,2016-11-15 16:23:00,15,2,94,262,4,5,2,0
0.16861476133787756,1,12608,82,82,2,667,2016-11-16 07:54:00,2016-11-10 14:02:00,2016-11-15 15:12:00,16,2,1,9,3,5,2,0
0.15558884304288378,1,7041,83,83,2,668,2016-11-16 07:49:00,2016-11-10 12:50:00,2016-11-10 13:40:00,138,2,2,6,4,6,2,0
0.21759366029354665,0,,84,84,4,669,2016-11-16 07:47:00,2016-11-09 16:15:00,2016-11-10 13:45:00,138,2,4,227,4,7,4,0
0.2565907315463106,1,87,85,85,4,670,2016-11-15 23:00:00,2016-11-14 23:42:00,2016-11-15 20:59:00,2,2,5,573,4,8,4,0
0.2565907315463106,1,88,86,86,4,670,2016-11-15 23:01:00,2016-11-14 23:42:00,2016-11-15 20:59:00,2,2,5,573,4,8,4,0
0.2565907315463106,1,85,87,87,4,670,2016-11-15 23:49:00,2016-11-14 23:42:00,2016-11-15 20:59:00,2,2,5,573,4,8,4,1
0.2565907315463106,1,86,88,88,4,670,2016-11-16 07:47:00,2016-11-14 23:42:00,2016-11-15 20:59:00,10,2,5,573,4,8,4,1
0.39157947173846375,1,90,89,89,1,670,2016-11-15 01:55:00,2016-11-14 23:42:00,2016-11-15 01:54:00,0,2,5,573,2,8,4,1
0.39157947173846375,1,89,90,90,1,670,2016-11-15 02:00:00,2016-11-14 23:42:00,2016-11-15 01:54:00,0,2,5,573,2,8,4,0
0.39157947173846375,1,6629,91,91,1,670,2016-11-15 02:07:00,2016-11-14 23:42:00,2016-11-15 01:54:00,0,2,5,573,2,8,4,1
0.39157947173846375,1,10794,92,92,1,670,2016-11-15 03:37:00,2016-11-14 23:42:00,2016-11-15 01:54:00,1,2,5,573,2,8,4,1
0.1716791459936406,0,,93,93,1,671,2016-11-16 07:45:00,2016-11-10 10:59:00,2016-11-10 10:59:00,140,2,2,5,4,7,1,0
0.31202365848916114,0,,94,94,9,672,2016-11-16 07:43:00,2016-09-28 14:59:00,2016-11-09 13:01:00,162,2,2,26,4,7,9,0
0.17174892103702083,1,10105,95,95,1,673,2016-11-16 07:43:00,2016-11-09 09:55:00,2016-11-09 10:05:00,165,2,9,32,4,7,1,0
0.17166931375947006,1,8690,96,96,1,674,2016-11-16 07:42:00,2016-11-09 13:22:00,2016-11-09 13:34:00,162,2,1,2,4,7,1,0
