"timestampdiff(HOUR, t_revision.rev_createdTime, t_revision.rev_committedTime)","rev_patchSetNum","rev_changeId"
"0","1","761"
"0","1","762"
"2783","1","763"
"2345","1","764"
"0","1","765"
"0","1","766"
"96","1","767"
"0","1","768"
"0","1","769"
"11","1","770"
"11","1","771"
"0","1","772"
"1","1","773"
"0","1","774"
"1","1","775"
"0","1","776"
"0","1","777"
"0","1","778"
"0","1","779"
"130","1","780"
"0","1","781"
"0","1","782"
"0","1","783"
"0","1","784"
"0","1","785"
"0","1","786"
"0","1","787"
"0","1","788"
"0","1","789"
"0","1","790"
"0","1","791"
"0","1","792"
"0","1","793"
"0","1","794"
"0","1","795"
"0","1","796"
"0","1","797"
"0","1","798"
"0","1","799"
"0","1","800"
"0","1","801"
"1","1","802"
"2","1","803"
"2","1","804"
"2","1","805"
"0","1","806"
"0","1","807"
"0","1","808"
"5","1","809"
"7","1","810"
"7","1","811"
"7","1","812"
"7","1","813"
"8","1","814"
"8","1","815"
"20","1","816"
"20","1","817"
"20","1","818"
"20","1","819"
"20","1","820"
"29","1","821"
"29","1","822"
"29","1","823"
"30","1","824"
"30","1","825"
"30","1","826"
"47","1","827"
"0","1","828"
"0","1","829"
"0","1","831"
"0","1","832"
"0","1","833"
"0","1","834"
"79","1","835"
"0","1","836"
"0","1","837"
"775","1","839"
"0","1","840"
"0","1","841"
"0","1","842"
"0","1","844"
"0","1","845"
"7","1","847"
"0","1","848"
"0","1","849"
"0","1","850"
"118","1","851"
"0","1","852"
"0","1","854"
"0","1","855"
"0","1","856"
"0","1","857"
"0","1","858"
"0","1","859"
"0","1","860"
"0","1","861"
"0","1","862"
"0","1","863"
"0","1","864"
"0","1","865"
"0","1","866"
"0","1","867"
"0","1","868"
"1","1","869"
"0","1","870"
"0","1","871"
"0","1","872"
"0","1","873"
"1","1","874"
"0","1","875"
"0","1","876"
"0","1","877"
"0","1","878"
"0","1","879"
"0","1","880"
"0","1","881"
"0","1","882"
"0","1","883"
"0","1","884"
"0","1","885"
"0","1","886"
"0","1","887"
"0","1","888"
"0","1","889"
"0","1","890"
"14","1","891"
"15","1","892"
"0","1","893"
"0","1","894"
"0","1","895"
"0","1","896"
"18","1","897"
"0","1","898"
"0","1","899"
"0","1","900"
"0","1","901"
"10","1","902"
"0","1","903"
"0","1","904"
"0","1","905"
"1","1","906"
"2","1","907"
"21","1","908"
"0","1","909"
"0","1","910"
"0","1","911"
"0","1","912"
"0","1","913"
"0","1","914"
"0","1","915"
"0","1","916"
"17","1","917"
"0","1","918"
"0","1","919"
"0","1","920"
"0","1","921"
"0","1","922"
"0","1","923"
"0","1","924"
"118","1","925"
"0","1","926"
"0","1","927"
"0","1","928"
"17","1","929"
"0","1","930"
"167","1","931"
"0","1","932"
"0","1","933"
"0","1","934"
"0","1","935"
"0","1","936"
"0","1","937"
"0","1","938"
"0","1","939"
"0","1","940"
"0","1","941"
"94","1","942"
"0","1","943"
"0","1","944"
"0","1","945"
"50","1","946"
"3","1","947"
"0","1","948"
"0","1","949"
"0","1","950"
"0","1","951"
"46","1","952"
"0","1","953"
"96","1","954"
"0","1","955"
"71","1","956"
"0","1","957"
"309","1","958"
"0","1","959"
"0","1","960"
"0","1","961"
"0","1","962"
"0","1","963"
"11","1","964"
"309","1","965"
"0","1","966"
"110","1","967"
"111","1","968"
"46","1","969"
"0","1","970"
"3548","1","971"
"21","1","972"
"0","1","973"
"0","1","974"
"0","1","975"
"100","1","976"
"158","1","977"
"3","1","978"
"0","1","979"
"0","1","980"
"0","1","981"
"32","1","982"
"32","1","983"
"0","1","984"
"3548","1","985"
"0","1","986"
"0","1","987"
"41","1","988"
"0","1","989"
"0","1","990"
"0","1","991"
"0","1","992"
"0","1","993"
"0","1","994"
"0","1","995"
"50","1","996"
"1","1","997"
"0","1","998"
"0","1","999"
"0","1","1000"
"26","1","1001"
"70","1","1002"
"0","1","1003"
"16","1","1004"
"0","1","1005"
"0","1","1006"
"0","1","1007"
"0","1","1008"
"0","1","1009"
"0","1","1010"
"0","1","1011"
"2","1","1012"
"0","1","1013"
"0","1","1014"
"0","1","1015"
"0","1","1016"
"0","1","1017"
"0","1","1018"
"5","1","1019"
"4","1","1020"
"4","1","1021"
"4","1","1022"
"23","1","1023"
"23","1","1024"
"23","1","1025"
"23","1","1026"
"31","1","1027"
"41","1","1028"
"41","1","1029"
"41","1","1030"
"41","1","1031"
"41","1","1032"
"41","1","1033"
"55","1","1034"
"88","1","1035"
"89","1","1036"
"118","1","1037"
"0","1","1038"
"147","1","1039"
"0","1","1040"
"0","1","1041"
"0","1","1042"
"0","1","1043"
"0","1","1044"
"0","1","1045"
"0","1","1046"
"0","1","1047"
"0","1","1048"
"0","1","1049"
"0","1","1050"
"0","1","1051"
"0","1","1052"
"0","1","1053"
"0","1","1054"
"0","1","1055"
"0","1","1056"
"0","1","1057"
"0","1","1058"
"0","1","1059"
"0","1","1060"
"0","1","1061"
"0","1","1062"
"0","1","1063"
"0","1","1064"
"0","1","1065"
"0","1","1066"
"0","1","1067"
"0","1","1068"
"0","1","1069"
"0","1","1070"
"0","1","1071"
"0","1","1072"
"0","1","1073"
"0","1","1074"
"0","1","1075"
"0","1","1076"
"0","1","1077"
"0","1","1078"
"0","1","1079"
"0","1","1080"
"0","1","1081"
"0","1","1082"
"0","1","1083"
"0","1","1084"
"0","1","1085"
"0","1","1086"
"0","1","1087"
"0","1","1088"
"17","1","1089"
"0","1","1090"
"0","1","1091"
"0","1","1092"
"0","1","1093"
"0","1","1094"
"0","1","1095"
"0","1","1096"
"0","1","1097"
"0","1","1098"
"0","1","1099"
"0","1","1100"
"0","1","1101"
"0","1","1102"
"0","1","1103"
"0","1","1104"
"0","1","1105"
"0","1","1106"
"0","1","1107"
"0","1","1108"
"0","1","1109"
"0","1","1110"
"702","1","1111"
"20","1","1112"
"12","1","1113"
"0","1","1114"
"12","1","1115"
"0","1","1116"
"43","1","1117"
"585","1","1118"
"12","1","1119"
"83","1","1120"
"0","1","1121"
"185","1","1122"
"0","1","1123"
"0","1","1124"
"0","1","1125"
"0","1","1126"
"0","1","1127"
"0","1","1128"
"43","1","1129"
"0","1","1130"
"64","1","1131"
"64","1","1132"
"54","1","1133"
"0","1","1134"
"0","1","1135"
"0","1","1136"
"0","1","1137"
"14","1","1138"
"22","1","1139"
"0","1","1140"
"0","1","1141"
"0","1","1142"
"0","1","1143"
"0","1","1144"
"0","1","1145"
"0","1","1146"
"0","1","1147"
"0","1","1148"
"0","1","1149"
"0","1","1150"
"0","1","1151"
"0","1","1152"
"0","1","1153"
"0","1","1154"
"0","1","1155"
"0","1","1156"
"0","1","1157"
"0","1","1158"
"0","1","1159"
"0","1","1160"
"0","1","1161"
"0","1","1162"
